order_date,region,country,product_category,product_name,revenue,cost,shipping_cost,material_cost
2025-10-16,Europe,Germany,Furniture,Ergonomic Chair,2826.47,1941.19,375.13,1566.05
2025-08-27,South America,Brazil,Technology,Laptop Pro,2577.06,1049.2,80.73,968.47
2024-07-22,South America,Brazil,Office Supplies,Printer,8189.59,3040.51,575.65,2464.86
2025-12-15,South America,Argentina,Office Supplies,Office Chair,2545.48,1144.54,89.37,1055.16
2025-01-24,Europe,United Kingdom,Office Supplies,Printer,8167.72,3808.37,464.02,3344.35
2025-01-22,Europe,Spain,Office Supplies,Printer,5984.85,2621.23,193.26,2427.97
2024-08-21,Asia Pacific,India,Technology,Laptop Pro,4111.2,1807.76,294.8,1512.97
2024-06-15,Asia Pacific,Australia,Technology,Business Tablet,7167.29,3125.67,240.61,2885.06
2025-10-12,North America,Mexico,Furniture,Conference Table,2052.32,895.62,163.11,732.51
2025-10-17,North America,Mexico,Office Supplies,Premium Paper,2675.96,938.16,122.49,815.67
2024-10-01,Europe,France,Furniture,Ergonomic Chair,2519.95,1131.76,187.07,944.69
2025-10-20,South America,Brazil,Office Supplies,Office Chair,2842.96,1214.92,122.64,1092.28
2025-08-21,South America,Chile,Office Supplies,Printer,2583.55,1304.97,143.33,1161.64
2024-04-03,Europe,Germany,Technology,Smartphone X,8024.75,3181.82,266.23,2915.58
2025-01-25,South America,Chile,Office Supplies,Premium Paper,6962.69,2725.35,516.91,2208.45
2024-09-30,Asia Pacific,India,Office Supplies,Desk Organizer,2002.5,734.1,132.37,601.72
2024-09-26,North America,Mexico,Technology,Business Tablet,8495.86,3535.08,339.37,3195.71
2025-01-17,North America,Mexico,Furniture,Executive Desk,6189.97,2530.98,220.32,2310.66
2025-01-06,Asia Pacific,Japan,Technology,Smartphone X,8841.09,4211.23,303.1,3908.14
2025-05-12,Europe,Spain,Technology,Smartphone X,6767.63,3250.38,258.9,2991.48
2025-06-24,South America,Brazil,Furniture,Conference Table,7273.02,3079.64,462.45,2617.19
2025-01-17,South America,Chile,Office Supplies,Premium Paper,2855.1,972.61,88.66,883.95
2025-07-21,North America,Mexico,Technology,Laptop Pro,1174.43,512.18,48.68,463.51
2024-02-02,Asia Pacific,India,Furniture,Conference Table,3145.53,1351.87,179.17,1172.69
2025-08-07,South America,Brazil,Office Supplies,Desk Organizer,2308.89,845.27,119.03,726.24
2025-03-09,South America,Argentina,Furniture,Executive Desk,6896.96,3328.1,240.85,3087.25
2025-02-16,Asia Pacific,India,Technology,Smartphone X,2306.98,965.21,117.87,847.34
2024-10-12,South America,Brazil,Technology,Cloud Server,8176.21,3787.96,285.31,3502.65
2025-10-29,Europe,Germany,Technology,Smartphone X,4360.93,2965.97,479.17,2486.8
2024-01-03,South America,Argentina,Office Supplies,Printer,4518.57,2364.88,360.45,2004.43
2025-07-23,South America,Brazil,Technology,Business Tablet,2568.16,964.5,171.52,792.98
2024-03-03,Asia Pacific,India,Technology,Cloud Server,5277.08,2457.96,199.85,2258.1
2025-06-04,Europe,France,Technology,Laptop Pro,6914.52,2567.19,248.88,2318.3
2025-08-06,North America,Mexico,Furniture,Executive Desk,6384.12,2694.53,377.84,2316.69
2025-06-19,Asia Pacific,Australia,Technology,Business Tablet,2767.52,1170.53,175.97,994.56
2024-11-03,South America,Argentina,Technology,Laptop Pro,4853.71,2570.39,387.35,2183.04
2024-03-16,North America,Mexico,Office Supplies,Office Chair,9365.96,4740.05,692.74,4047.31
2025-01-13,Asia Pacific,Japan,Office Supplies,Printer,6310.94,3223.53,395.69,2827.84
2024-01-09,Asia Pacific,India,Technology,Business Tablet,1596.57,596.66,92.06,504.6
2024-10-05,Asia Pacific,Japan,Furniture,Ergonomic Chair,2434.17,1066.98,105.15,961.83
2025-05-15,Asia Pacific,India,Technology,Cloud Server,8378.81,2960.16,391.1,2569.05
2024-05-13,Asia Pacific,Japan,Furniture,Storage Cabinet,5740.96,2265.59,175.0,2090.59
2024-03-18,North America,Mexico,Technology,Business Tablet,6033.84,2163.65,219.46,1944.19
2024-11-11,Asia Pacific,India,Office Supplies,Office Chair,6979.63,3124.95,332.82,2792.13
2025-07-27,South America,Chile,Furniture,Conference Table,9294.76,3472.85,354.36,3118.49
2024-06-30,South America,Brazil,Technology,Business Tablet,7932.67,3373.39,503.69,2869.7
2024-09-11,Asia Pacific,Japan,Furniture,Executive Desk,4134.15,1485.58,221.32,1264.26
2024-07-23,South America,Argentina,Office Supplies,Office Chair,2617.77,1175.19,130.69,1044.5
2024-10-12,Europe,United Kingdom,Office Supplies,Desk Organizer,6955.42,3290.66,323.83,2966.83
2024-01-29,Europe,United Kingdom,Technology,Business Tablet,863.44,377.12,40.83,336.3
2024-11-17,South America,Chile,Furniture,Executive Desk,4159.36,1785.3,177.75,1607.54
2025-12-26,South America,Brazil,Furniture,Conference Table,3960.1,1479.92,250.33,1229.6
2024-12-04,Asia Pacific,India,Furniture,Ergonomic Chair,5317.66,2373.5,246.26,2127.24
